a newes,s. nöwis.,
Flächter·strou,"(n, kein Pl.): Flechtstroh (wh 132). ↑flächte.",
flänschig,"(-er, -scht): durchweicht, abgestanden, bes. Salat: dia het fùr ds Lääbe gäär flänschiga Salaat (We2 Re1); ↑weich.","[ev. zu mhd vlans 'Mund', urspr. ev. 'vorgekaut, mundgerecht'; verwandt mit flennen (dwb) ◆ fehlt in Ma-Wbb]"
flegere,"(g-et): ❶ wüten, arg treiben, a) von Unwetter (Gu1 Ta1 He Pl1 Si1); as schnyyt ùn as stǜǜrmt ù flegeret ù lùftet (pm 58); SYN: strubuusse. b) von Gegenstand: är köert ù gspǜrt sys Härz poplen ù flegeren ù ganz ùnglyych pùmpe (pb Isi46); ❷ arg treiben von Lebewesen, a) ausgelassen sein, sich unflätig benehmen (allg.); nam Füraabe (...) Schwarza trùùhen ù gschnapset, tǜǜpelet ù ggsǜǜrmlet, gfäliert ù gflegeret ù liid taa (pb Isi62); SYN: spöḷke. ↑sawatte1. b) schimpfen, fluchen: i de Wǜrtschaften ùmma het er ggflegeret ùn ùber mù uustüüflet (pb Isi38); ↑ chäre, chriege. ZSS: uus~. ❸ herumtollen, spielen (He1 Si1); ▲spiile. SYN: zylendere. ↑ chiibe, flädere, liid (tue), yndyaanerle. / ↑Flaag. ZSS: ùma~.",[ev. zu Flaag; vgl. schwzdt plegere zu Blaag ◆ fehlt in Ma-Wbb]
Fliisch,"(n, kein Pl.): Fleisch (allg. / wh 172, 187); ▲Spyys, ▲Tier. U-BEGRIFFE: Ggrǜǜkts, Rǜnnerigs, Schwynigs, Wǜḷd, Wùùrscht. / Anterggùùt, Bache, Blätzli, Braate, Chǜnnpackli, Chùttla, Frǜsches, Fryggḷ, Fyle, Ghackets, Gnaagi, Gschnätzlets, Hama, Läbera, Laffli, (suura) Mocke, Nierli, Ragù, Schaafschygo, Späck, Täḷpli, Utter, Zùnga, etc. ↑Ggeeder. / ↑metzgge. • Ra.: frǜsches Fliisch Siedfleisch (Dü2 Pl1); ↑Frǜsches.",[auch Fleisch (Gu)]
flööze,"(g-et): flössen, Holz auf dem Wasser transportieren (ML1 Ss1); es esch für z'flötze grad recht vehl Wasser gsi (FZ 10.5.1865); ↑fäḷdere.","[auch flöösse (Ta1 He1), flöössne (We1) ◆ mhd floeen 'fliessen machen; hinabschwemmen' ◆ Id 1,1214]"
flueche,"(g-et): fluchen (allg. / wh 212); het gfluechet ù gmentet, ali Hǜmùsziihe (pm 94); SYN: flamente.",[auch fluehe (wh)]
Flummbett,"(n, -eni): Deckbett aus Federflaum (wh 137). SYN: Tachbett.",
Flǜǜga,"(f, -e): ❶ Fliege, Insekt (allg. / wh 66, 188); ùber d Wiiden ahi sy ùf allne Meie vǜllfarbigi Flǜǜgen ù Chäfere, Mǜgge ù Vyfoutere (pm 86); Mǜggen ù Flǜǜge (wh 169); ↑Piita. ZSS: Mǜscht~. ❷ zur Querschleife gebundene Krawatte (neu / Gu2 Re1); SYN: Mǜllervogḷ. ❸ Knospenansatz bei der Frucht (neu / Dü2 Üb2 Fr Ta2 Gi2 Si2); SYN: £ǜgi.",[auch Flöiga (Gu) ◆ 2. Trachten 117]
Fola, s. Foli.,
föönig,"(-er, -scht): föhnig, mit Föhnwind: as isch tou föönig gsyy (He1). ↑bysne.",
förchte,"(g-et): sich fürchten (Si2 / wh 51, 210); [asoo] ass me si gar nit het müesse förchte (Aeby 22); SYN: angschte.","[auch föchte (Si2) ◆ Id 1,949]"
fort·packe,"(-t): weggehen, aufbrechen (derb); hinacht packen i mi fort (vs GuC); SYN: schiebe.",
fötzle,"(g-et): ❶ herumtollen (Ta1); SYN: zylendere. ❷ ausgelassen sein, a) necken, foppen (Fr2 Ss1); ↑höḷke. b) verstecken im Spiel (Fr2); SYN: kaḷte.","[auch fotzle (Ta1), fǜtze (Ss1) ◆ zu Fotzl, also 'sich wie ein Fötzel benehmen' ◆ Id 1,1157: Bed.2 CH]"
Framberi,"(n, -eni): Brombeere (Gu1; sds 6,141: Gu / wh 73, 139: ""See""; Thürler). SYN: Bramböri.","[zu Bramberi + frz framboise 'Himbeere' ◆ typisch Gu ◆ Id 4,1471]"
Frässer,"(m, unveränd.): Vielfrass, gr. Esser (derb / Pl1). vgl. Anhang 1.",
Frena, s. Freni.,
Fron·lyychnam,"(m, kein Pl.): Fronleichnamsfest (neu / Dü2 Si2). SYN: Härgottstaag.",
Frouehängeli, s. Frowehengeli.,
frübùùrgere, s. frybùùrgere.,
Frǜndyn,"(f, -e): Freundin (Üb1 Fr1 ML1 Gi1 Re1 Si1 Pl1 allg2); SYN: Fröyndyn, Ggopyna. vgl. Anhang 1.",
frǜǜsch, s. frǜsch.,
fryn,"(-er, -scht): durchgerieben, dünn, zB Hosenboden (Volkskalender 1996,63).",[Herkunft unbekannt ◆ Einzelbeleg ◆ fehlt in Ma-Wbb]
fǜdele,"(g-et): ❶ tänzelnd, hüftschwingend gehen (Ss1); ↑Fǜdle (schlingge, treeje). SYN: täsele. ❷ stinken (Ss1); ↑stiiche.","[zu Fǜdle ◆ Id 3,1029: 'hüftschwingend gehen; stinken' (Stalder: Inner-CH)]"
Fueder,"(n, unveränd.): Fuder, Wagenladung (wh 186); Fueder ù Fueder chlingeldǜrrsch Höi isch i d Schüür grolet (pm 16); SYN: Laadùng. ↑Bùùrdi. • Raa.: wär ds Fueder ùberlaade het, taarf si nit vùrwùndere, wenn es ùmkyyt immer massvoll bleiben (pb S-8) • as Gsicht wyn as Fueder Hùdle wütende Miene (pb S-8).",
Fuesswääg,"(m, -e): a) Fussweg, Pfad (allg.); b) Viehweglein in den Bergen (sds 6,73: Ta); ↑Treeja.",
Füflyber,"(m, -e): Fünffranken-Stück (Fr2 Si1); i hetti gmint a Füfliber, aber nùme wyl es a tygereti [Chatz] isch (fa Chatz); ▲Bätzi1. SYN: Füffrenkler, Grampolschyba, Krachschyba, Stǜcki.","[frz livre 'alte frz. Münze' im Wert von fünf frz. Franken (Id) ◆ Id 3,982]"
fulenze,(g-et): faulenzen (allg.). SYN: plegere.,
fǜrchte,"(g-et): sich fürchten (sds 5,13: SE Fr). SYN: angschte.","[auch fǜǜrchte (neu / sds: We) ◆ Id 1,993]"
Fǜrscht,"(m, -e): First, oberste Dachkante (Üb1; sds 7,234: SE / wh 91); ▲Tach. SYN: Fätta, Fǜrschthoḷz. ZSS: Chrütz~.","[auch Firscht (sds: Gu), Fǜǜrscht (Anderegg) ◆ Id 1,1023; Anderegg 1,258]"
fürtüüfle,(g-et): a) Feuer entfachen: am Balkan fürtüfle sie an iem iha (FN 22.3.1913); SYN: aprene. b) mit Feuer od. Feuerzeug spielen (Wü1); ↑tüüfḷhiile.,
Fuu·bùùm,"(m, -ǜǜ-): Faulbaum, Kreuzdorngewächs, dessen Rinde als Abführmittel dient (Üb1); ▲Struuch.","[ahd fšl-boum 'Faulbaum'; nach dem fauligen Geruch der Rinde (Wahrig) ◆ Bosshard 1978,300]"
füüf·maaḷ,(Part.): fünfmal (allg.). ↑Zaaḷ.,
fǜǜr·choo,"(unveränd.): ❶ a) überleben, wieder gesunden (allg. / wh 56); i bǜn eml glyych vǜǜrchoe (pb Spät109); ↑lääbe. b) schaffen, überstehen, zB mit Geld, Budget auskommen (Fr2 Si2 Pl2 / wh 56); aber si müesse ùmleere ù si dr Zyt aapasse, de chùnt o hüt no a jeda fǜǜr (pm 9); SYN: ggriise. ❷ vorne durchgehen, vorbeikommen (Pl2 Ss1).",[auch vǜǜrchoe (pb)]
füürhagḷ·tùùb,"(k. Steig.): sehr, stinkwütend: [het de Pfaarer] nis füürhagùtùùba ù mit stächigen Ùùgen aaggùgget (aj Alergattigs26).",
Füürstii,"(m, -ne): ❶ Feuerstein (Si1); ❷ Bonbon-Sorte (Ss1); ▲Guetzi.",[SI-Wb: Bed.1]
fuxe,"(g-et): ärgern: as fuxt sa, aß iira denn epis aso Natüürlichs nit sälber i Siin choe isch (pb Ana 123); ↑pigge.","[hochdt fuchsen, dessen Herkunft unsicher ◆ Id 1,659]"
Fyla,"(f, -e): Beule (Id). SYN: Püla.","[† ◆ ev. zu ält. schwzdt Fëll 'Geschwür' ◆ Id 1,778: Fille nur FR]"
Fynöggeli,"(n, -eni): abschätzig für unselbständige, heikle Person (Dü2 Ta2); vgl. Anhang 1.","[zu fynn; gebildet wie Manöggeli zu Manoggḷ ◆ Id 1,837 nur: Fyynerli 'feine, heikle Person']"
Fyxstäärn,"(m, -e): Fixstern, Sonne (Pl1). ↑Sùna.",
Gaade,"(m/n, unveränd.): ❶ Nebenzimmer, Abstellraum (Dü1 Üb1 He1 We Gi1 Pl1 Ss2); as settigs Chörbli isch no i üsùm Gaden yhi (pm 43); ▲Buu, ▲Zǜmmer. SYN: Chrome, Gänterli, Pùffchämmerli, Reduy. ↑ Äschterich, Bǜni, Remyse, Soller. ❷ Vorratsraum, hinter der Küche, in Berghütten, in Käsereien (Wü1 Fr1 Ta1 OL1 Si2; sds 7,140: Gu Dü ML OL); d Bratestǜckeni chämen i ds Gaden yhi (pm 22); SYN: Gänterli, Spycher. ZSS: Chees~, Mǜḷch~. ❸ Lagerraum im Ökonomieteil: Heuraum, Maschinenabteil neben der Scheune, kl. Raum für Melkmaschine neben dem Stall (Gu1 Fr1 We2 Si1 Ss1); SYN: Bǜni. ↑Chrome. ❹ Schlafraum über der Stube (sds 7, 135: Üb); der Pfarrer mynt, mu sölli nit die Mytli z'gääre ha, nit zuenen ufen Ofetritt u gar i ds Gaade gah (Nydegger 1882); SYN: Oberjuhee. ZSS: Obergadi.","[auch Gaade, n (Ta1 Pl1 Ss1 / Nydegger), Gade, m (Dü1 Üb1 Fr1 We1 Ss2; sds: We Ss), Gade, n (sds: Üb / pm), Ggaader, n (sds: Fr), Dim. Gädeli (sds: Gu Dü ML OL / pb S-7), Gäädeli (Si1) ◆ veraltend ◆ mhd gadem 'Gemach, Kammer, Haus mit nur einem Zimmer'; zur Lautung s. Anhang 3.7 ◆ Id 2,114]"
gäärble,"(gg-et): Reiswellen herstellen: wǜl ùm Gärblen awäg isch mù ùmmi de Stüüreboge i Siin cho (pm 87); ▲hoḷze. SYN: gaarble, wädele.",
Gäärschta,"(f, kein Pl.): Gerste (wh 190). ▲Choor. • Ra.: iires Gäärschtli am Trochene haa bereits ein Vermögen erzielt haben (ar 110).",
Gaas·ööḷ,"(n, kein Pl.): Petrol, Leuchtöl (wh 89); aber nam Häpere-Chùmmer isch d Gaseel-Noet choe (vs GuC85); SYN: Gaas.","[auch Gaaseeḷ (vs) ◆ Id 1,181]"
Gäbḷ·hoorn,"(Pl.): breite, verzweigte Kuhhörner: das isch a schöni Bärgchue gsy, a bravi mit schöne Gäbelhorn am ena rassege Chopf (pm 75).",
gagle, s. ggaggele.,
gäḷte,"(ggoḷte): a) gelten, wert sein (wh 50, 154); de Toni hät's gar nit wele la gäute (fa Chatz); di jùnge guete Zùchtchüe (...) gäḷte ja Chörb voll Gäld (pm 12f); ZSS: ar~, vùr~. b) erlaubt sein: Ggruggiis, vùrbùtze gǜutet niit (fa Wätter5).",
Gäscher,"(m, -e): ❶ Scheuerwisch zum Reinigen von Küchen-, u. Sennereigefässen, a) rasierpinsel-ähnl. Bürstchen, zB aus Stahlborsten, steifem Gras, Tierhaaren (Gu1 Üb1 Fr1 Ta1 He1 Re1 Si1 Ss1 / wh 104); dr Gäscher hettisch dù söle la sy, as git Pfaneblätze, d Gäschere stiiche nùmen a wee (pm 80); b) rauher Kupferlappen (Gu1 Dü1 Wü1 Fr1 Ta We1 Si1 Pl1); ▲Pùtzzüüg. SYN: Pfaneblätz. ↑ Hùdḷ, Schwùmm. ZSS: Fäggrüüsch~, Pfane~, Ryys~. ❷ a) Lausbub, (zu) kl. Junge (Wü Gi2 Si2 Ss2); b) untersetztes, dickes Mädchen (pb S-3); vgl. Anhang 1.","[1. Wort u. Ding veraltet ◆ Herkunft unbekannt ◆ Id 2,479: Geschner (CH), Gescher (nur Schwb.)]"
gchochet,"(-er, -scht): ❶ gekocht, gesotten. ↑choche. ❷ müde, ausgelaugt (pb S-1b); i bǜ nächti schöö gchocheta gsyy (Ta2); SYN: dǜri.",[Bed.2 nur FR; frz je suis cuit 'müde; betrunken']
gchruslet,"(-er, -scht): gekraust, kraushaarig (neu / Gu2 Üb2 He2). SYN: ggrùbelet.",
geedrig,"(-er, -scht): ❶ geädert, vom Fleisch: ggeederets Flaag Fliisch (Wü1); ❷ stark, sehnig, von Person: a Maa i de böschte Jaar, gederga ù ggwǜǜrbige ù ging i de Sätz (pb Isi37); ↑staarch.","[auch gederg (pb), ggeederet (Wü1) ◆ zu mhd ge-äder 'Muster, Netz aus Adern']"
Gflǜgḷ,"(n, kein Pl.): Geflügel; ▲Gficht. U-BEGRIFFE: Gous, Huen, Pfou, Purytta, Truthaan. TEILE: Fächte, Fädera, Flumm, Schnabḷ. ↑Vogḷ.",
Gfrier,"(n, unveränd.): Gefriertruhe, Kühltruhe (Ta1 Si2); SYN: Chüeli. ↑Frygoor.","[auch Gfrieri, f (Si2) ◆ fehlt in Ma-Wbb, dwb nur: Gefrier, f 'Frost' (Bayern)]"
Ggaagger,"(m, -e): ❶ Krähe, Rabenvogel (allg. / wh 155, 183); Doolen ù Ggaaggere sy ùmenanni gschosse (pm 103); de Phylypp isch nit de einzig Bueb gsyy, wa de Ggaaggere nahighääbe het (MaSchaller 97); ▲Vogḷ. SYN: Chreeja. ❷ a) bösartiger Mensch (Gi2); b) extrem magere Person: wie ne Gagger (Id); vgl. Anhang 1. ❸ Alkohol-Rausch (Dü1); SYN: Stǜǜrni.","[auch Ggaaggera, f (Wü2 Üb1 / pb) ◆ lautmalend nach Schrei des Vogels ◆ Id 2,164: 1. männl. nur BE-OL, FR; 2.b) nur FR]"
Ggaffi·gǜǜrgeler,"(m, unveränd.): Kaffetrinker (Id). ↑sǜǜrggele.","[zu gùùrgle 'trinken' ◆ Id 2,418: nur FR]"
Ggäggeler,"(m, unveränd.): Pedant, pingeliger Mensch, Tändler (pb S-A); vgl. Anhang 1.","[Id 2,169: nur BE-OL]"
Ggamascha,"(f, -e): Gamasche (wh 38). SYN: Garoda, Ùberstrùmpf. ↑Schue.",
Ggapyschong,"(n, -e): Kapuze: dù muesch ds Ggapyschong wùy tue (Ta1); SYN: Priegga.",[frz capuchon 'Kapuze; Hülse; Kappe']
Ggasch·ggasch,"(n, kein Pl.): Versteckspiel (Fr); SYN: Ggruggiis.",[frz cachecache 'Versteckspiel']
Ggatter·tööri,"(n, -eni): vergittertes Türchen, Gattertor zur Weide: as holzigs Chäschtli mit zweie Ggättertöerleni (Kolly 19); ↑Ggätter.",[auch Ggättertöerli (Kolly)]
ggegget,"(-er, -scht): eckig, kariert (Üb1 Re1); schwarz oder rot, ggegget, rùnd - voräwägg nää wyn es chùnt (pb Verse60); ZSS: chlynn~, vier~.",[zu Egge ]
Gginggel·ööri, s. Gginggùloori.,
Gglächter,"(n, unveränd.): Gelächter (wh 77).",
gglesle,"(-et): viel Schnaps trinken, intrans.: si hi mit ùm gleslet (pm 100); ▲triiche. SYN: bächere, brene, gùùrgle, nää, paggele, päggere, schlǜcke, schnapse, schnäpsle. ↑chrüttere.",
Ggliger,"(n, unveränd.): einfache Lagerstätte, a) Tierliegeplatz im Stall (Üb1 / wh 49); SYN: Lääger. b) Schlafstelle für Menschen, Bett (Gi2 / wh 49); wyn äär mögi blaase, dr Stùtz uuf ù nachts ùf ùm Ggliger (pb Isi15); si het mù as Gliger zwäg gmacht ù het ging dùm Wasser zueggùgget (pm 70); SYN: Gaschtera. c) Bett (derb / Dü1 Gi2); SYN: Bett.",
gglömpfe,"(-t): spucken, zähen Schleim auswerfen (Fr2). SYN: chodere.",[zu Gglömpf ◆ Einzelbeleg ◆ fehlt in Ma-Wbb]
gglùmperet,"(-er, -scht): schlaff, welk, ausgetrocknet, a) von Pflanzen (allg1 SE2); ds Mejili isch ganz glùmperets cho (fa Josi8); ↑aḷt. b) von Menschen, Haut (Ta2 Re1); är isch gglùmpereta choe wyn a Wäschhùdl [vor Schmerzen] (pb Isi19); si sy ganz gglùmperet choe [vor Durst] (Kolly 45); SYN: plùmperet. ↑vùrbruucht.","[wohl von Lùmpe 'Lappen' ◆ Id 3,1278: nur FR]"
gglǜschterle,"(-et): ❶ gierig Ausschau halten, lüstern sein, bes. Männer nach Frauen (We1 Gi2 Pl1 Ss); SYN: schwäckle. ❷ lauern, a) spähen, beobachten (Dü1 Üb1); b) lauschen, horchen (Fr1 Re1); as Zytli isch er staa plǜbe, het glǜschterlet ù glost (Kolly 49); ↑schwäckle.","[auch gglǜschtele (Dü1 Gi2 Ss2) ◆ 1. zu mhd lüsten 'begehren, verlangen'; 2. mhd lustern 'lauschen; auflauern' ◆ gleiches Partizip wie lǜschterle, deshalb wohl Überschneidungen ◆ Id 3,1480: 1. fehlt; 2.a) nur FR, WS]"
Ggoboy,"(m, -e): Cowboy (Dü2). ▲Pruef. ↑yndyaanerle.",
Ggolyss,"(m, -e): Wasserleitung, Abwasser-Schacht, unterirdisch, an Strassenrand od. in Strassenmitte (Gu1 Pl Ss); dete wa de Bach dǜr e Ggolys ùnder d Strass glǜffe isch (pm 66); ▲Wasser. SYN: Ggulyssa, Schacht.","[pat koliche 'Trockenlegung, Drainage' (Currat) ◆ Id 2,217: Ggolyss, n ]"
ggonter-pyee,(Part.): gegen die Laufrichtung (Sport / Üb2 Ta2). ↑ggonter-pyee.,[zu frz contre-pied 'gegen die Laufrichtung']
Ggorna, s. Ggorni.,
Ggottilùng, s. Ggotilùng.,
ggräägge,"(-et): schrille, unangenehme Töne von sich geben: höret uuf gräägge, yir kenet mi zweenig (fa Josi14).","[Id 6,769: 'schreien' (Murten); 'unangenehme Töne von sich geben' (Entl.)]"
ggranglet, s. ggrangget.,
Ggrempler·froueli,"(n, -eni): Händlerin, Marktfrau (pk). ↑ Grǜtzermannli.",[auch Grämplerfroueli (pk)]
Ggrùch,"(m, -ǜ-): Geruch (allg.). ↑Gschmack.",
Ggrüüsch,"(n, unveränd.): Geräusch, Lärm: da köören i va de Zybegg här as Grüüsch (pm 103); ↑Läärme.",
Ggùfe·chǜssi,"(n, -eni): Stecknadelkissen (pk).",
Gguggeluu,"(m, -e): Keuchhusten (Ta1). SYN: Ggoggelüsch.",[wohl Abwandlung von Ggoggelüsch ◆ Einzelbeleg ◆ fehlt in Ma-Wbb]
ggüggḷ·root,"(k. Steig.): sehr rot, total gerötet (pb S-2).",
ggǜmperle,"(-et): ❶ leicht hüpfen (Ta2 Ss1); SYN: ggùmpe. ❷ trippeln, kindlich gehen (Gu Wü1 Fr2 Gi2 Pl2); SYN: tschöderle.",
Ggupp,"(m, -e): Coupe, Eis mit Früchten u. Sahne (Gu1); as Ggüppi ga pigge ein Eis essen gehen (neu / Ta2); ↑Glassa.",[auch Ggüppi (Ta2)]
Ggüschola, s. Ggüschoola.,
Ggutschli,"(n, -eni/-ini): a) Bett für Bébés, Wiege (allg. / sds 5,16: Dü Fr); ▲Bett. SYN: Waagli. ↑Bettli1. b) kl. Bett auf Rädchen, das man tagüber unter das Elternbett schob (wh 53); SYN: Charrli.","[auch Ggutschi (Gu1 Dü2 Wü1 Ta2 We2 Gi Re Si Ss2; sds: Fr), Ggutscheli (Wü2 We1 Pl) ◆ b) † ◆ mhd gutsche 'Ofenbank', wohl über ital cuccia aus ält. frz couche 'Liege'; aus lautl. Gründen kaum direkt aus pat kutse (Currat) ◆ Id 2,564]"
ggüüne,"(-et): heulen, a) jaulen von Hunden (sds 8,120: Ta Pl; wh 67); ggüünen ù jousse wyn a Hùnn (pb S-2); ↑brüele. b) winseln von Menschen: di ganzi Nacht het er a kis Ùùg chene zuetue va Schmärze, ù het oni Ùnderbrùùch pyschtet ù ggüünet ù si tröelt im Bett (Kolly 58); ↑ggygge.","[mhd ginen, gënen 'Maul offen haben; gähnen' ◆ Id 2,334: 'heulen, laut beklagen' (nur FR)]"
Ggüüss,"(m, -e): Schrei, Kreischen: mit amena fǜrchterliche Ggüüss schryysst si ds Ggweer var Wann (pb Spät121); SYN: Ggyx. ↑Päägg.",
Ggwääsch·chessḷ,"(m, -le): Eimer für organische Abfälle (Wü2 Si2 Ss2). SYN: Schwynechessḷ.",
Ggwannhiit,"(f, -e): Gewohnheit (wh 156).",[auch Ggwaniit (wh)]
Ggwenn,"(n, unveränd.): Wand des Ständerwerks (Anderegg 1,259). SYN: Wann.",
ggwitzt,"(-er, -escht): gewitzt, schlau: aber iina derva isch ganz a gwitzta Chnöbù gsy (fa Religion); ↑gschǜcht.","[auch ggwyxt (We1) ◆ zu mhd witze 'Wissen, Verstand']"
Ggwùnder·fitz,"(m, -e): ❶ Neugier (pb S-8); SYN: Ggwùnder. ❷ neugieriger Mensch (pb S-8); SYN: Wùndernaasa.",
Ggyggaara, s. Ggüggaara.,
ghaagget,"(-er, -scht): a) mit einem Haken versehen, gekrümmt (He1); ↑chrùmm. b) gerankt, verzweigt: o bi üüs git is mengs gghaaggets, mengs wachst zwäärisch (pb Isi8); c) widerwärtig, boshaft (He1); ↑hassig.",
ghiidig,"(-er, -scht): dunstig, trüb, von Wetter (SE1 Ta2 Gi2 Si2 / wh 157). SYN: trüeb. ↑ fiischter, sùnig, strub, tempfig, top.","[auch ggiidig (Ta2 Re1), kiidig (wh) ◆ veraltend ◆ zu mhd gehei 'Brand, Hitze; Trockenheit'; -d- zur Überbrückung der aufeinandertreffenden Vokale (*gehei-ig), ev. in Anlehnung an Heide eingeschoben (Id; dwb) ◆ Id 2,985: gheidig (BE-OL, GR-Rheinwald); FR fehlt]"
ghùblet,"(-er, -scht): uneben, hügelig auf Wiesen (sds 6,61: We Pl). SYN: pùgglet.","[Id 2,948]"
ghye, s. kye.,
Giisbart,"(m, -ä-): Geissbart, Strauch mit gefiederten Blättern u. hohem Blütenstand (Ta1); ▲Chrüttli, ▲Struuch.","[SI-Wb; BzH 1933,40: Teekraut zum Wassertreiben, bei Husten u. gegen Durchfall]"
Giisfuess,"(m, -ü-): Geissfuss, Gerät zum Herausziehen von Nägeln, Ausstechen von Unkraut (Dü1 / Thürler). ▲Wärchzüüg.",
Gipfeli, s. Gǜpfeli.,
Glatza,"(f, -e): Glatze (allg.); SYN: Lüüsezyba. ↑ Haar, Schiitḷ (va iim Oor zùm andere).",
glǜckhaftig,"(-er, -scht): glücklich: de Maggebärger Toni wǜnscht aune, wa de Häperetùmer lääse, schöni Wyenachte ùn as guets glǜckhaftigs Nüüs Jaar (Vaucher 29); SYN: gfelig.",
glyy,"(Part.): bald, sogleich (Ss1 / wh 60, 153); gly hät er de Seppili gfragt, ab er d Widergebùrt o scho arläbt higi (fa Religion); glyy drùfay bald danach (Ss1); afe glyy endlich (sds 6,28: Pl); as isch ggange, ù de no glyy (Ss1); eppa de glyy (pk); ↑denù.",
Gmiinsmaa,"(m, -mane): Gemeindevertreter: si isch drùf ù traa gsyy fùr d Ggmiinsmane ga z fraage, gob s era nit weli ùs ùm Liidschte usa hälfe (pb Spät101); ↑Gmiinraat.",
Gnaager,"(m, kein Pl.): Heisshunger (Ta1 We1 Si1 Pl1); i han a Gnaager, i chönti verrùckta cho (pm 58); SYN: Schwytt. • Ra.: de Maager het de Gnaager (We1).",[fehlt in Ma-Wbb]
gniischte,"(gg-et): ❶ kl., anspruchslose Arbeit verrichten, sich beschäftigen (Dü Wü1 He1 Ss1); är het no im Stall usi öpis gnischtet (pm 99); ▲wärche. SYN: böbere, bryggoliere, chnuuschte, fygureetle, ggǜtterle, gnuppesaagere, gnyxere, grable, grǜble, grǜmschele, gvätterle, mämele, nischere, paschtle, pätschgge, pfilischtere, ryschyggere, vùrtööre. ↑ chlüttere, chrättele, maarfle, nùùsche, rieschtere, rygle. ❷ nie still sein können, unruhig hin- u. herrutschen (Wü2 Üb1 Fr1 Si1 Pl1); ▲wiigge. SYN: chrättele, fäggnäschte, fägiere, fäliere, näschte, spoore. ZSS: ùmma~. ❸ sich mühsam durchsetzen, durchbeissen: itz het ersch doch no chene gniischte (Gi1); ↑päärze.","[veraltend ◆ Bed.1 zu ahd gn�tan 'reiben' (Id); Bed.2 ev. zu mhd gneisten 'Funken sprühen'; beeinflusst von näschte (Id 4,840) ◆ Id 2,675: 1. nur Gugg.]"
gnuppe·saagere,"(-et): kl., anspruchslose Arbeit verrichten, wenig arbeiten (We1). SYN: gniischte.",[ev. zu luzern Chnuppesaager 'Geizhals']
Godera,"(f, -e): ❶ Person, die mit Flüssigkeit herumspritzt (Ss1); vgl. Anhang 1. ❷ schlechter Kaffee (Ss1); SYN: Schwägla.",
Gooḷ,"(n, unveränd.): Tor, a) Ziel von Ballspielen (We2); ↑Chrütz. b) Treffer in Ballspielen (Dü2 Ta2); SYN: Chaschte, Chischta, Chrùtza, Topf. ↑Paloota. / ↑schutte.",
gopfùrtami,"(Part.): Fluchwort, eig.: Gott verdamme mich (He2 Gi2). SYN: sackerdyy.",[auch gopfertami (He2)]
gotte·froo,"(k. Steig.): sehr froh, glücklich: da bǜn i gottefroo gsyy (Ta1).",
Göḷgg,"(m, -e): ❶ Rotz, Nasenschleim (Id); SYN: Schnùdera. ❷ abschätzig für ungezogenen Jungen (Id); vgl. Anhang 1.","[Id 2,233: 2. nur FR]"
graase,"(gg-et): a) Gras schneiden, mähen, ausreissen (allg. / wh 102); de Oberhouzpfaarer het d Widergebùrt ganz annersch arläbt: Am ana gwönliche Morge bym Graase (fa Religion); SYN: chrutte. ↑höye. b) weiden, bes. vom Vieh (Wü1 Üb We1); ↑frässe.",
grable,"(isch/het gg-et): ❶ von kl. Tieren, Ungeziefer, a) krabbeln, kriechen, wimmeln (Gu2 Wü1 Üb Ta1 He2 We1 Re1 Si2 Pl1 Ss); a hoja Ambiissehuuffe, da het es grablet ù gräblet (pm 85); SYN: chrable. ↑schnaagge. ZSS: ùma~. b) klettern, auf Felsen herumkriechen (Ss2); ↑chrable. ❷ von Menschen, a) kriechen von kl. Kindern (Gu2 Ta2 He Re1 Si2 Pl2); SYN: schnaagge. ZSS: ùma~. b) (refl.) schaudern, erwartungsfreudig, nervös kribbeln im Körper (Dü Wü1 He1 Si1 Ss1); as het mi scho di ganzi Zytt ggrablet (Ss1); ↑tschuurle. ZSS: vùr~. c) etwas Kleines arbeiten, wühlen (Ta1); i muess ging a bitz grable, ass i wol bǜ (pb S-1a); ma wärchet, so lang ass iim de Härgott laat grable (pb Verse83f); SYN: gniischte.","[hochdt grabbeln 'herumtasten, schnell nach etwas greifen' (urspr. niederdt) ◆ Id 3,778: chrable, grable 'krabbeln' (CH); 'klettern' (nur FR)]"
gramuusle,"(gg-et): wimmeln, a) krabbeln von kl. Tieren (Ss1 / wh 74); i däne [grùùsse Haselhääg] het es gramuslet ù kräsmelet va grüselige Schnägge (Aeby 22); b) von gr. Menschenmenge (Pl1); hǜbscheli feet is an gramusle [ùf ùm Märit] (ms 60); ↑schnaagge.","[auch gramusle (Aeby; ms) ◆ zu schwzdt grams(e)le 'wimmeln, kribbeln', ev. unter Einfluss von Muus; dieses wohl zu mhd grimmen (Prät. gram) 'krümmen, sich winden' (Id 2,740) ◆ Id 3,819: Bed.a) nur FR]"
gotte·froo,"(k. Steig.): sehr froh, glücklich: da bǜn i gottefroo gsyy (Ta1).",
Graabe,"(m, Ggrääbe): Graben (wh 182). ↑Grueba.",[Dim. Grääbli (wh 71) ◆ zur Lautung s. Anhang 3.7]
Graasig,"(f, -e): Graswuchs, Grasgewinn einer Wiese (pb S-4). ↑Wasùm.","[Id 2,798]"
Gramama,"(f, -e): ❶ Grossmutter (Fr; sds 4,126: Gu Fr); ❷ Urgrossmutter (Fr1). ↑Äänismueter.",[frz grand-maman 'Grossmutter']
